sample,t_s,I_mA
1,0.114,6.482333
2,0.597,6.469313
3,1.083,6.467014
4,1.560,6.476075
5,2.047,6.479972
6,2.528,6.470936
7,3.019,6.466080
8,3.900,6.480365
9,4.386,6.478669
10,4.877,6.467580
11,5.359,6.468391
12,5.844,6.479947
13,6.321,6.480120
14,6.811,6.467420
15,7.288,6.467985
16,7.777,6.480292
17,8.257,6.480095
18,8.749,6.466866
19,9.234,6.466030
20,9.710,6.478362
21,10.199,6.478435
22,10.686,6.465612
23,11.169,6.465932
24,11.644,6.478644
25,12.139,6.480624
26,12.619,6.468096
27,13.102,6.467088
28,13.589,6.478263
29,14.071,6.481275
30,14.557,6.470333
31,15.038,6.465994
32,15.526,6.471673
33,16.009,6.476259
34,16.978,6.463879
35,17.459,6.468526
36,17.947,6.476456
37,18.429,6.474280
38,18.910,6.465440
39,19.392,6.466030
40,19.883,6.474501
41,20.366,6.474575
42,20.851,6.465379
43,21.336,6.465182
44,21.819,6.476825
45,22.298,6.477292
46,22.788,6.466830
47,23.270,6.467198
48,23.757,6.480611
49,24.237,6.480488
50,24.722,6.468010
51,25.199,6.468416
52,25.687,6.480538
53,26.173,6.481841
54,26.661,6.470223
55,27.138,6.469104
56,27.619,6.481361
57,28.108,6.483710
58,28.594,6.473837
59,29.082,6.471366
60,29.566,6.480980
61,30.046,6.485677
62,30.527,6.477599
63,31.017,6.472091
64,31.986,6.486009
65,32.469,6.481202
66,32.954,6.471723
67,33.439,6.474489
68,33.919,6.484546
69,34.406,6.482099
70,34.884,6.469362
71,35.371,6.469448
72,35.859,6.481460
73,36.342,6.482038
74,36.821,6.469288
75,37.310,6.469547
76,37.789,6.483783
77,38.277,6.484435
78,38.764,6.471723
79,39.248,6.469129
80,39.729,6.480919
81,40.209,6.481312
82,40.700,6.469743
83,41.178,6.469952
84,41.668,6.481472
85,42.147,6.482320
86,42.635,6.471096
87,43.119,6.470051
88,43.605,6.480562
89,44.083,6.483279
90,44.573,6.474194
91,45.051,6.471169
92,45.535,6.478214
93,46.025,6.482861
94,46.507,6.476788
95,47.478,6.473100
96,47.953,6.478989
97,48.443,6.474587
98,48.929,6.464949
99,49.415,6.464014
100,49.899,6.470272
101,50.381,6.467432
102,50.867,6.459305
103,51.347,6.458765
104,51.832,6.465121
105,52.319,6.465268
106,52.802,6.458322
107,53.288,6.458420
108,53.770,6.465698
109,54.251,6.464334
110,54.739,6.457375
111,55.219,6.457129
112,55.706,6.464543
113,56.182,6.463916
114,56.670,6.455925
115,57.159,6.455052
116,57.639,6.461568
117,58.128,6.462059
118,58.614,6.456035
119,59.097,6.455125
120,59.579,6.460264
121,60.066,6.461826
122,60.948,6.454646
123,61.435,6.456084
124,61.919,6.461297
125,62.405,6.460092
126,62.883,6.454621
127,63.374,6.454966
128,63.858,6.462219
129,64.339,6.462133
130,64.827,6.456318
131,65.310,6.456257
132,65.794,6.463584
133,66.279,6.463399
134,66.757,6.455826
135,67.246,6.455593
136,67.729,6.462367
137,68.209,6.462490
138,68.698,6.455187
139,69.184,6.454781
140,69.667,6.461383
141,70.149,6.461961
142,70.630,6.455212
143,71.119,6.453306
144,71.599,6.459527
145,72.003,6.460781
146,72.975,6.453392
147,73.459,6.454855
148,73.939,6.460486
149,74.418,6.458974
150,74.909,6.452519
151,75.388,6.453527
152,75.879,6.460203
153,76.355,6.459687
154,76.840,6.450982
155,77.330,6.451105
156,77.809,6.456724
157,78.300,6.455482
158,78.779,6.448179
159,79.260,6.446888
160,79.749,6.451941
161,80.230,6.452076
162,80.719,6.445634
163,81.197,6.444811
164,81.687,6.451240
165,82.170,6.450503
166,82.649,6.445143
167,83.139,6.443495
168,83.620,6.447933
169,84.109,6.448487
170,84.509,6.446397
171,85.474,6.446851
172,85.965,6.449950
173,86.449,6.448585
174,86.932,6.444479
175,87.410,6.445229
176,87.899,6.449913
177,88.379,6.450269
178,88.866,6.445450
179,89.349,6.445241
180,89.836,6.450183
181,90.319,6.449986
182,90.806,6.444761
183,91.289,6.445278
184,91.775,6.450515
185,92.248,6.451019
186,92.739,6.446938
187,93.218,6.446532
188,93.709,6.452003
189,94.188,6.452396
190,94.679,6.448105
191,95.157,6.447995
192,95.647,6.452470
193,96.128,6.452790
194,96.609,6.449077
195,97.099,6.448831
196,97.579,6.452150
197,98.068,6.453810
198,98.549,6.450417
199,99.036,6.448265
200,99.515,6.450736
