sample,t_s,I_mA
1,0.042,14.487860
2,0.526,14.474950
3,1.001,14.240370
4,1.969,14.280080
5,2.459,14.288990
6,2.936,14.296600
7,3.429,14.275770
8,3.903,14.272290
9,4.394,14.270800
10,4.879,14.283300
11,5.359,14.258850
12,5.846,14.290290
13,6.328,14.251650
14,6.805,14.272310
15,7.298,14.273350
16,7.779,14.272930
17,8.261,14.292940
18,8.748,14.468120
19,9.229,14.479910
20,9.718,14.471420
21,10.198,14.466020
22,10.685,14.456130
23,11.169,14.453610
24,11.649,14.405760
25,12.137,14.214950
26,12.614,14.208070
27,13.099,14.264880
28,13.588,14.254360
29,14.062,14.316360
30,14.551,14.209300
31,15.031,14.264450
32,15.522,14.251840
33,16.002,14.254060
34,16.971,14.247920
35,17.457,14.281010
36,17.932,14.254980
37,18.422,14.276180
38,18.909,14.258970
39,19.393,14.258140
40,19.877,14.456860
41,20.351,14.453470
42,20.836,14.457100
43,21.327,14.455270
44,21.809,14.459770
45,22.289,14.460790
46,22.777,14.393130
47,23.259,14.208170
48,23.744,14.212660
49,24.230,14.330420
50,24.711,14.274350
51,25.190,14.266120
52,25.678,14.284020
53,26.157,14.253900
54,26.649,14.283930
55,27.129,14.269840
56,27.609,14.263730
57,28.098,14.272790
58,28.578,14.254300
59,29.066,14.341660
60,29.542,14.230540
61,30.032,14.296280
62,30.513,14.316890
63,31.486,14.466700
64,31.961,14.459950
65,32.451,14.459230
66,32.931,14.468250
67,33.420,14.466960
68,33.903,14.323170
69,34.389,14.248160
70,34.866,14.218690
71,35.349,14.264330
72,35.831,14.268560
73,36.320,14.284280
74,36.801,14.281720
75,37.290,14.312350
76,37.773,14.274250
77,38.258,14.300790
78,38.739,14.283240
79,39.218,14.317590
80,39.701,14.279440
81,40.191,14.249210
82,40.678,14.269270
83,41.159,14.249480
84,41.639,14.249640
85,42.129,14.437100
86,42.607,14.426550
87,43.086,14.423640
88,43.579,14.427170
89,44.058,14.442530
90,44.543,14.437740
91,45.028,14.260590
92,45.509,14.190990
93,46.478,14.259790
94,46.960,14.236240
95,47.449,14.242680
96,47.930,14.248350
97,48.418,14.225110
98,48.898,14.251580
99,49.380,14.228600
100,49.868,14.248530
101,50.353,14.227220
102,50.837,14.230940
103,51.320,14.240060
104,51.797,14.228710
105,52.288,14.235710
106,52.770,14.282970
107,53.257,14.430080
108,53.740,14.430480
109,54.223,14.435690
110,54.703,14.435570
111,55.190,14.427230
112,55.670,14.420530
113,56.158,14.205440
114,56.636,14.167040
115,57.123,14.165700
116,57.602,14.196230
117,58.090,14.231260
118,58.571,14.208770
119,59.061,14.260430
120,59.541,14.219760
121,60.029,14.218370
122,60.510,14.244130
123,61.479,14.232650
124,61.959,14.217360
125,62.438,14.216230
126,62.930,14.205660
127,63.411,14.211680
128,63.899,14.289850
129,64.382,14.409040
130,64.866,14.425010
131,65.343,14.424030
132,65.828,14.422840
133,66.317,14.421240
134,66.799,14.419810
135,67.280,14.180080
136,67.768,14.170400
137,68.251,14.175500
138,68.736,14.226830
139,69.220,14.257440
140,69.704,14.216580
141,70.183,14.216250
142,70.671,14.232390
143,71.157,14.233750
144,71.633,14.224800
145,72.123,14.238930
146,72.605,14.227200
147,73.008,14.242990
148,73.977,14.249230
149,74.461,14.192860
150,74.945,14.263700
151,75.429,14.424410
152,75.910,14.425090
153,76.392,14.425140
154,76.876,14.427500
155,77.359,14.422990
156,77.847,14.423460
157,78.325,14.212680
158,78.815,14.183510
159,79.293,14.264380
160,79.783,14.190870
161,80.261,14.242010
162,80.742,14.200780
163,81.232,14.221570
164,81.712,14.219690
165,82.197,14.225840
166,82.682,14.237350
167,83.170,14.226060
168,83.652,14.246400
169,84.136,14.291400
170,84.621,14.191520
171,85.102,14.231430
172,85.588,14.243270
173,86.072,14.334680
174,86.556,14.437030
175,87.036,14.429860
176,87.523,14.428110
177,88.002,14.427360
178,88.973,14.422570
179,89.458,14.230830
180,89.935,14.186530
181,90.423,14.207330
182,90.902,14.246280
183,91.391,14.227210
184,91.874,14.237380
185,92.353,14.208800
186,92.845,14.227590
187,93.325,14.214760
188,93.804,14.224470
189,94.291,14.258370
190,94.772,14.211430
191,95.263,14.218790
192,95.747,14.209020
193,96.229,14.212780
194,96.707,14.186650
195,97.193,14.300980
196,97.682,14.409660
197,98.162,14.408130
198,98.641,14.401850
199,99.127,14.390710
200,99.615,14.399490
